Date,Natural Gas Price,Crude Oil Price,US Dollar Index,GDP,Natural Gas Production,Net Imports,Natural Gas Consumption,US total natural gas proved reserves (trillion cubic feet)
2012-09-01,3.32,92.19,79.93,16207.13,19.39055,1.3459200000000002,18.68356,348.809
2012-10-01,3.692,86.24,79.92,16319.54,20.55476,1.62799,20.697730000000004,348.809
2012-11-01,3.561,88.91,80.15,16319.54,20.45359,1.4210200000000002,20.088150000000002,348.809
2012-12-01,3.351,91.82,79.77,16319.54,19.90747,1.2061600000000001,18.07208,348.809
2013-01-01,3.339,97.49,79.21,16420.386,20.6155,1.13472,19.01084,348.809
2013-02-01,3.486,92.05,81.95,16420.386,19.97917,0.9155500000000001,21.67841,348.809
2013-03-01,4.024,97.23,83.22,16420.386,20.46213,0.9352800000000001,25.039070000000002,348.809
2013-04-01,4.343,93.46,81.75,16629.05,20.23011,1.23636,28.78785,348.809
2013-05-01,3.984,91.97,83.26,16629.05,18.32561,1.03872,25.671550000000003,348.809
2013-06-01,3.565,96.56,83.14,16629.05,20.23443,0.99747,25.211080000000003,322.67
2013-07-01,3.446,105.03,81.45,16699.551,19.83451,0.94838,19.674580000000002,322.67
2013-08-01,3.581,107.65,82.09,16699.551,20.42563,0.9211199999999999,17.52469,322.67
2013-09-01,3.56,102.33,80.22,16699.551,19.73764,1.02883,17.42917,322.67
2013-10-01,3.581,96.38,80.19,16911.068,20.7983,1.07587,19.2633,322.67
2013-11-01,3.954,92.72,80.68,16911.068,20.753539999999997,1.0592400000000002,19.273789999999998,322.67
2013-12-01,4.23,98.42,80.04,16911.068,20.031859999999998,1.21459,17.66973,322.67
2014-01-01,4.943,97.49,81.31,17133.114,20.76228,0.98024,18.66762,322.67
2014-02-01,4.609,102.59,79.69,17133.114,20.29834,1.0501099999999999,23.16909,322.67
2014-03-01,4.371,101.58,80.1,17133.114,20.62296,1.55851,29.20826,322.67
2014-04-01,4.815,99.74,79.47,17144.281,20.70203,1.60549,32.04129,322.67
